Day of outbreak,MCMC,Nishiura
170,0.9904068853024379,0.9617603737259682
171,0.9917524320903434,0.9670313964551479
172,0.9930494068156177,0.9716301728577368
173,0.9941042542510695,0.9755463968663011
174,0.994968064019988,0.9790429130757853
175,0.995743223519966,0.9818996517665066
176,0.996351622913041,0.9844692801249483
177,0.9968919237646124,0.9866057854310275
178,0.9974265077821707,0.9885467095457694
179,0.9978989560738531,0.990316199721411
180,0.9981738964435374,0.9916628716012024
181,0.998434103731659,0.9928262027663418
182,0.9986474515291633,0.9938303882801275
183,0.9988799242437062,0.9947877980234361
184,0.9990448359630502,0.9955213592124726
185,0.9992262263635059,0.996244705593482
186,0.999382029333495,0.9968671414127617
187,0.9994905672348253,0.9974024628062848
188,0.9995635294768083,0.997771141077429
189,0.9996495268684701,0.9981797145882082
190,0.999793180212439,0.9988053098163383
191,0.9998229470613267,0.9989752941411449
192,0.9998480441697186,0.9991213922670773
193,0.9998882128358284,0.9993385366789523
194,0.9999039507845796,0.9994330968687696
195,0.9999190448677732,0.9995142904679287
196,0.9999469115509302,0.999675640387891
197,0.9999545248952608,0.9997221978835104
198,0.9999767018742834,0.9998538173754503
199,0.9999800527729674,0.999874832799455
200,0.99998292630786,0.9998928569610781
