Day of outbreak,MCMC,Traced,Nishiura
84,0.1185367779102331,0.07732852715150766,0.08983940892436482
85,0.14567665051921558,0.09964428093674774,0.1036471312962697
86,0.1788383863774699,0.1263882321001465,0.11905339950372462
87,0.2157088671433035,0.15784193455539244,0.13615406178377454
88,0.11926066884678331,0.1271321567340028,0.1113604299398848
89,0.061000096977840285,0.0805697014379998,0.09073381589682267
90,0.02863073055965883,0.06832999574655337,0.07370475285699456
91,0.04270836672031365,0.08684003464973786,0.08319860871516345
92,0.01880449718484792,0.06621926184715651,0.06739138628092234
93,0.0024345362172743857,0.004281622269774568,0.03920648811765077
94,0.004667808916354981,0.0067836921526216055,0.044256356839246086
95,0.002550343040294693,0.0066399382734713295,0.03596809855588558
96,0.004887490648416996,0.010693110532139349,0.04080605326812467
97,0.009092391382546534,0.016911889971776065,0.04642726071598532
98,0.005230307120575639,0.017287455009411447,0.03804420229404967
99,0.009287879920601106,0.026197756068618846,0.04351189583802998
100,0.002199240758289551,0.005383790990570871,0.025742963425459092
101,0.004221465231019325,0.009033455709436018,0.029611293501932635
102,0.0077913247829913355,0.014651364721930162,0.034183393576703885
103,0.013470206294600247,0.02299072324307352,0.0395848580972249
104,0.021946541918266553,0.03483073301571496,0.04595274490290459
105,0.03467629626664538,0.05090406841998248,0.05344400427892915
106,0.05229808089074464,0.07166188565468092,0.0621850941899132
107,0.03498669056317027,0.02897715551195242,0.051969183389602956
108,0.024036506045824343,0.03036344054545388,0.04343044159225637
109,0.03533922857941306,0.04309538631930031,0.0505294257235064
110,0.024120090247049367,0.01962392621316647,0.04224463653734977
111,0.03496516581594641,0.029214750544361845,0.049189927774243004
112,0.05132122021338228,0.04234056397963216,0.0572912011732425
113,0.014325562032492432,0.014679791127843138,0.034432579323906747
114,0.021773893704350514,0.022184956096212214,0.040121140826639874
115,0.03358533841538025,0.03268035180004857,0.04677766373379698
116,0.04933349089043398,0.046971400989527234,0.05455642592547146
117,0.02957145452534234,0.01042298137196228,0.0456999062080615
118,0.04331574352174978,0.016312637824094398,0.053265529598432594
119,0.06235037913482709,0.024961972852552156,0.062035821441812806
120,0.03645661839391068,0.014443429029445216,0.05183854204480909
121,0.02091201994250113,0.009379421164058623,0.04327372421694948
122,0.004535358219987303,0.0029841214336265996,0.02594153532124298
123,0.0077974439918335695,0.005249703983894052,0.03016961399875451
